comment,score,likes
*The cat ate some edibles*,0,0
Diogenes,0,0
"According to the description of the video - ""The tabby named Thongdang was filmed sleeping coåmfortably on her back on the wooden floor in Chachoengsao, central Thailand on July 27"". Some people in the comments making comments about Chinese restaurants and eating cats. Do people not read? Or do you just assume any 'Asian-looking' person is Chinese now?",0,0
Obviously it gets videoed a lot. Wasn't even startled. Such a cool cat.,0.4249,0
"Sane, rational creature: I am somewhat worried about being stepped on.
This cat: I have run all out of fucks and must lay in this position until my stock is replenished.",-0.6133,0
Zero fucks.,-0.4767,0
"Sarap buhay ni Cathy cat, waiting for his food while laying on the floor hehe",0,1
This cat is my spirit animal lol absolutely love it when they stretch out their bodies like that💕 my kitten does that all the time whens he’s sleeping on me 😭,0.8883,0
For those who don't know its a chinese restaurant. What makes me more surprised is that they did not cook up that cat.,0.2944,1
Crazy cat.,-0.34,0
Maybe the cat was drinking somebody’s leftover vodka in the sink in the restaurant overnight and now he’s all boozed up and could not move. He needs help with someone picking him up to his bed. Or he’s experiencing sleep paralysis and couldn’t move,0.4019,0
A ese gato le dieron mucho bajativo!!! 😂😂,0,0
BLOWN..... on cat nip,0,0
"Actually she doesn't want to pay the bill so she's pretending to be asleep...cool, I'll do that when I visit a 3 michelin started restaurant for the first time.",0.1907,0
That pu$$y was worn out😂,-0.296,0
"“Alright, who drugged the cat again?”",0,10
Omg somebody give him a CPR.!,0,0
Broken back,-0.4767,0
Stay off the weed!!!!,0,0
"This can't be ""Whuhan"" he wouldn't be on the floor he would be on the menu lol",0.4215,0
"Peaje , una rascada en la panza",0,0
😁😂😄😁😁😂😃😍😘😚🐱,0,0
Ughhhh wtf is a cat in there any nasty ass way?,-0.8979,0
is he drug,0,0
My wife is like that,0.3612,0
I Bet it's the Owners cat,0,0
🤗🤗🤗🤗🤗🤗💪💪💪💪💪💪💪💪💪💪,0,0
Cat's in quarantine mode.,0,0
Such a good baby they deserve all the belly rubs,0.4404,0
That cats on Catamine 😉,0,0
"People continue to call this cat a ""he"". The cat is a ""she"". Her legs are wide open for us to see that!!!",0,0
They would have it in the pot and on the menu in  China .,0,0
silent seizure,0,0
Totally Stoned 😵,0,0
I like this cat! So cute!,0.7489,1
How can they let good food go to waste like that,0.3818,0
"Welcome to another episode of: ""Where has quarantine led me today?""",0.4588,31
Footage of me in quarantine,0,1
"Я,з даюсь ..мяу",0,0
*LET HIM SLEEP!!1!*,0,1
I want to go to this place right now！,0.0772,0
"He’s not even sleeping, he’s just being petty",-0.2023,61
That must not be a Chinese restaurant.,0,9
Typical cat behavior-lmbo!,0,0
ahh! its that ZEN cat.,0,0
That's exactly why were dealing with covid-19 right now.,0,0
That looks like our Ragdoll. Laziest cat I've ever seen nothing seems to bother it.,-0.0423,0
Looks like the end result of a hit n run by a speeding waitress.,0.3612,0
Someone droped there pork fried rice.,0,0
Hmm. I don't know if I can eat  in the restaurant.   Cat hair will be flying around!😅🤣🤣🤣😆😁😄,0,0
That's not normal. Is that cat drugged or something??,0,0
This  is literally life goals 😂😂😂,0,1
She is tired after long sleeping.,-0.4404,0
Cute funny Ginger,0.7096,0
"I like it ...oh magnifique.....i have the same it's know that it with family ...it is in the security with you...""Il  sait qu 'il est en sécurité  avec vous et que personne ne lui fera de mal....""",0.5994,0
This cat must be super stone😂😂,0.5994,0
She's got gorgeous/lovely markings as well .. %- ),0.2732,1
smart kitty demanding belly rubs,0.2023,0
May each of us defend our noblest convictions as valiantly and uncompromisingly as this heroic cat.,0.6428,0
"Love me humans, i am your lord",0.6369,1
That is zero Fs given,0,0
Real life Garfield,0,0
Meow from Melody Cat,0,0
"Anyone consider this cat needs to see a Veterinarian?
His eyes don't look good.  Lazy or exhausted and not feeling well, not enough energy to get up and move, 😢.",-0.6998,0
Please neuter him,0.3182,0
Some should throw a bucket of ice cold water on it,0,0
Crazy cat!,-0.4003,0
It want attention,0.0772,0
👅,0,0
Menuda gilipollez,0,0
😂👍💋,0,0
so adorable,0.5413,0
"The temperature is probably pretty high in this area, for it to sprawl like that 😆😆😆",0.6908,0
"Lazy cat lazy cat 
what are they feeding you?
Lazy cat lazy cat
Its not your fault",-0.7745,0
This dude got in the saki,0,0
This cat is demonstrating what is done to them. This is a call for help. Lol,0.6705,0
Get the fück away and stop filming me Karen 😾,-0.296,0
Happyyyyyyyy,0,0
"Oh hey, it’s somewhere in thailand.",0,0
"Go home cat, you're drunk.",-0.34,0
Obviously not filmed in CHINA.,0,0
Наелся и спит...,0,0
Thailand,0,0
You drugged the cat and now you have a viral video!  Perfect!,0.6467,0
that's happen when you hunt mice all night long...,0,1
0:06 White guy towering over short Asian lady,0,0
"That cat says ""Don't come to me too closer, that makes me to open my eyes that's very bad because I'm lazy""🤣",-0.5849,0
Appears to be just waking up from an all night bender.,0,0
"That cat hasn’t paid for a single meal.
But when I do the same I get a fine and a ban.",-0.4215,0
"When the owner of the business is your father, you can just about do whatever you want to.",0.0772,8
Cat shouldn't be in the restaurant in the first place.,0,0
Plot twist: it was dead the whole time. What movement you seen was the gas escapes its corpse,-0.8176,0
"That's the cutest, I would have to have rubbed his belly... he's so cute n chunky 🥰🥰🥰💜😭💜🧡",0.8256,5
煮るなり+焼くなり+好きにしろ=ごちそう,0,0
It's a CHINESE place. Probably just escaped the kitchen,0,2
"Nah, it just got out of the fridge",-0.1027,1
Help I've eaten too much lasagna and I can't get up,0.4019,0
That cat is drunk,-0.34,0
The cat was there before the restaurant,0,0
Give it a nice good hard KICK!!!,0.7332,0
"Bring a big dog in  , it will  make a difference",0,0
Move over human this is my space,0,0
lol,0.4215,0
Hardly a busy restaurant...,0,0
Welcome to Pho King...Eat yo shit and get out!,-0.2244,0
Now that's what i call a lazzycat doll,0,0
Haha haha 😂  just love them in every form😘😘,0.8807,0
Maybe he has Lyme disease? I know everyone is laughing but there might be a serious underlying health issue.,0.1655,0
Директор Устал!,0,0
He's high ASF!,0,0
This is what the internet is for,0,0
Как моя кошка))),0,0
"My neck and my back I want $150,000 but we can settle this right now for $20.",0.0387,0
Zen cat,0,0
Will you look at me! Someone took my balls!,0,0
Oh...it wasn't all that busy...,0,0
KING KING,0,0
Well fed!,0.3382,0
My lion rug impression.. I saw this on national geographic n the humans just loved it😽,0.5994,0
The cat would be cooked and eaten in china,0,0
I think I would move the cat before someone steps on it,0,0
😻😻😻😻😻😻,0,0
They gave him Weed..Trust Me!,0,1
I drrrank too meouch...,0,0
That cat got into someones eddibles,0,0
Fez vestibular,0,0
If I saw that I think it would legitimately scare me. Like something is wrong with that cat. 🤔🙅‍♂️,-0.5859,0
Do cats get high?,0,0
That cat looks hungover asf 🥴 lol,0.4215,1
That's a deadly belly trap I'm willing to die for,-0.7351,0
King Feline of Entitlement🐅,0,0
he owns restaurant so he'll sleep wherever he wants😂😻,0,3
Look like my cat...😂,0.3612,0
If you're brave enough that's prime stomach pillow territory.,0.5267,0
Food Coma Tabby Cat Lol,0.4215,0
Garfield...,0,0
That cats been on the xannies,0,0
爆笑した,0,0
"Little dose he know, they about to eat him..",0,0
He’s adorable 😍 not lazy,0.6497,0
R u sure this cat is not protesing,0.3182,0
I always wanted to do that in the middle of a restaurant. - Jeffrey.,0,0
What a babe!,0,0
Why was that so cute,0.5949,0
I just wanna rub that belly tbh,0,0
I'm afraid that an obese person whos not paying attention would come through.,0,3
🤣🤣🤣🤣,0,0
"It’s the warm and cozy environment that puts him in a such a calm mode , the smell of good food the relaxing environment... prr ... can’t wait for this quarantine to be over so I can finally visit my favorite restaurant to relax and eat...",0.9349,18
Maybe sick??,-0.5661,0
There is something under that wooden floor for sure,0.3182,0
If that aint laziest shit i ever seen.,0.7115,0
Hope it's not a Chinese restaurant.,0.4404,1
Rough night😂,0,0
"so si vite. I love cats, trop mignon",0.6666,0
"Cat: “Rebecca(Waitress), get me another glass of milk.” Hiccup.
Rebecca: Enjoy!",0.5411,0
It was the salmon mousse...,0,0
"Ce sont les vidéos les plus mauvaises qui font le plus de vues,à croire que les êtres humains sont vraiment cons.",0,0
I just love them!❤❤❤😅,0.6696,0
Puss puss,0,0
Big cat must over 6kg,0,0
"Kitten was worked to hard bussing tables, 🤣🤣🤣🤣🤣",-0.1027,0
Cat is stoned out his mind😂,0,2
Can somebody pet its belly already ?,0,0
*I just love cats!*,0.6696,0
What if the human do the same thing.,0,0
AimeuDeusducéu. 😁😁😁 Eu tenho um assim!..amo 🐈🐈🐈 😸😸😸,0,0
What a fucking brat. I love her.,0.6682,0
Thanks for no music.,0.1779,0
"""It's always good to be on the same floor level as my minions""",0.4404,0
Define “busy” please,0.3182,0
Yeah ......ganza ganza 😎😎😎,0.296,0
😍😍😍,0,0
Lazy bastard.,-0.7184,0
😄💖😙💖😄😙💖💖💖💖,0,0
She is clearly giving zero f.cks,0.6249,0
"They need to place one of those folding yellow ""Caution: Wet Floor"" ⚠️ signs over the cat. Just change it to ""Caution: Lazy Cat.""⚠️",-0.3612,0
"💯 catnip wins again..... 
           https://youtu.be/-4LWwWklrF8",0.5719,1
He is asserting his cute dominance.,0.5859,0
已经是个废猫了,0,0
Охуевшей Бабки внук,0,0
Me and the boys had it rough last night,0,0
That Cat Better Be careful Before It Ends Up On The Special Menu!🍽,0.7574,0
Legend has it he's still spread eagle on the floor....,0,0
โต๊ะ​สี่เช็คบิล,0,0
cat: ya aint scratchy my armpit? f u,0,0
I try this shit and I get thrown out of a chili's. I may have also been naked and on bath salts but that's besides the point.,-0.3182,0
My boy vibing,0,0
I have never seen a show like that:))),-0.2755,0
"really? ok never seen that before, Clearly, he trusts your love for him",0.9099,2
Hes actually been drugged and about to be food,0,0
I think she's drunk 🐱🐱🐱😅😅😅👍,-0.34,1
"Poor cat had bought big into May Oil futures contracts, thinking it was easy money with prices being so low.....then the bottom dropped out and contracts went negative!",-0.636,1
Me after a proper night out and the other half asks me to knock up some shelves.,0,0
The way this video was shot sucks. What we wanted to see was the reactions of customers and staff when they see the cat and have to step around it.,-0.3612,0
She chill.,0,0
I felt like doing that after eating at Outhouse Steakback.,0.3612,0
"In 2020, this is how I don't want to be bothered.",-0.3658,0
"Somehow I think his cousin works at a cafe in Greece, same setup and everything.",0,0
I would shovel his ass up and throw him out the restaurant.,-0.5423,0
"Edibles?
I have 30 cats and they are horrified...",0,0
You sure he's not dead?,0.6948,1
"This cat is the biggest troll of the planet.
He's so zen...",0,0
Puff puff pass out!,0,0
So cute.  Cats don't usually exposes their belly unless they feel secure and safe about it's environment.,0.8386,0
lol that cat is a mood,0.4215,0
❤️🇺🇸🇸🇻,0,1
I have never seen a cat sleep like that. Wth. Must be very trusting of the environment,0.2716,0
Garfield the cat is real.,0,0
😄😄😄😄,0,0
I’m 100% sure that restaurant serves alcohol...because that cat is hungover,0.3182,0
"The cats that I have always owned or had growing up, never seen them once sleep like this! Let alone, in a public place!?",0.4184,3
He found the owner's secret stash,0,0
Fake and gay,-0.4767,0
Ми є слугами Природи!                 Ми знаходимось на їх території.,0,0
Too bad it isn’t an Asian restaurant,-0.5423,0
LINDEZA DA MAMÃE!!!💓💓💓😘😘😘,0,0
Then the cat gets stepped on & the owners try to sue them...,0,0
I didn’t know cats sleep on their backs like that.,0.3182,5
Poor kitty worked to much overtime.,-0.4767,0
That is the most adorable thing!,0.5838,0
Hes acting stoned,0,0
Why is my dinner on the floor,0,0
No body think cat laying on the floor is a thing.,-0.296,0
That lazy shit is just asking to get belly rubs,-0.7269,0
This restaurant empty,-0.2023,0
Jesus is holding the cat on gunpoint.,0,0
That is hysterical!!!,-0.2444,0
"Number of mice caught: Zero
Number of F***s given: Also Zero",0.1531,0
It's just a 3D rug.,0,0
Is it possible that this cat has some type of narcolepsy or seizure disorder....this does not seem like normal behavior.,-0.2755,0
Garfield exists!!,0,0
I love you cat 💕,0.6369,0
I love it! That cat don't give a fuck!,0.8241,0
That cat is drug to the eyeballs he's actually trying desperately to run away,-0.3818,0
Sleeping cat in a Chinese restaurant. Someone call rspca. That cat will become tomorrow's special dish! Lol,0.6996,0
"Where’s the boss ? 

Sorry he’s sleeping 😂😂😂🙏🏽",-0.0772,0
"I think that cat is full on weed. It can't realise what's happening 😂.
Cutie cat",0.3612,0
It's a cat scene. Call 911.,0,0
Shid She Probably Had Waaay Too Much Catnip The Night Before 😂,0,0
Some One needs to tell that cat to get a job ! Lazy prick !,-0.6688,0
The cat looks depressed to me  not sleepylmao atleast thats how i look when depressed smh,-0.836,0
Life is good!👍,0,0
"I thought he,d been on a bender and the barman,s letting sleep it off",0,0
1:22 Fake Yeezys 😆,-0.4767,0
Cat looks straight up dead,-0.5267,0
Massive cat,0,0
Lazy little shit,-0.701,0
White wine with the fish,0,0
My cat was just like that after he died,-0.2732,0
"After this pandemic is over, I want to go to a public park to try being this relaxed and comfortable.",0.81,0
Dasar orennnnnn... kochenggg,0,0
Puss in boots at it again....,0,0
"Feed me, walk around me, rub my belly.
 -Cat",0,0
😁,0,0
"Is he asleep? 
No, Im pretty sure he is dead.",-0.25,1
That’s too cute!!! ❤️,0.5962,0
😆😆what a relaxing  rest.,0.4939,0
LMAO! Fucking cats.,0.7118,0
Esse gato esta dopado,0,0
"People:  wondering ""what the hell the cat is doing?"" 
Cat: ""pet me tender, pet me sweet""",-0.3818,0
Love it,0.6369,0
That cat laying down is as stiff as a board.,0,0
">busy
>3 customers",0,0
Hungover not sleeping lol,-0.3252,0
"Dumbasss she is high on weed
This is unusual for a cat",0,0
it moved!!! tht was er...dead!!,0,0
😀😘,0,0
I don't think the restaurant is busy 😂,0,0
Cat has massive stroke. Owners and youtube think it's cute.,0.4588,0
lol... funny cat!,0.4926,1
Hehe..cute,0,0
They cooked the cat and ate it last week,0,0
that not cat that dinner no un tranquilize cat would hang around Asians like that,0.1531,0
Get out of there or your going to be lunch Lol,0.4215,0
I bet I could move that cat,0,0
Sleeping like puss in boots,0.3612,0
Somebody give that guy some food!!,0,0
thats garfield,0,0
Too much wine? 😀,0,0
Surprised this wasn't a Tortie.,0.2263,0
Esta tendido de dolor se comieron sus hijos e hijas,0,0
Anyone check to see if its dead,-0.6486,0
He is the owner of the restaurant!,0,0
Cat: im covid19 negative,-0.5719,0
Lazy mode activated 🤣🤣🤣,-0.3612,0
Why can't my cat be like this... He's just a skitty little loser who thinks I murdered his family when I sneeze.,-0.719,0
Why are Japanese cats so weird?,-0.3052,0
🙀😾😺😸😽😻,0,0
"“Is it alive?” 
Tail wags
“Oh ok”",0,3
"Thats not lazy, thats comfy!",0.3404,0
I've never been that comfortable in my life,-0.4023,0
I aspire to be this unbothered by the world around me.,0,0
1:02 - Hooman! Why so close hooman!,0,0
Maybe the cat is too old to move or got the Corona Virus or maybe he is slowly becoming paralysed or worst probably is possessed by some lazy Jinn!,-0.784,1
He is a king. Kings do what they want.,0.0772,0
Don't get it twisted. It's the restaurant manager. 😁,0,0
1:18  ....lol,0,0
This cat never heard of anxiety or stress 😄,-0.3142,0
"Cat shows belly,  I'm  tooootally at home here. 
But this ones on an exhibitionist level",0,0
We found Garfield,0,0
Unbelievable. Such a f*n ass-hole. That's what they are.,0.2023,0
Then kill it,-0.6908,0
I blame the owners .. Grab the cat by the tail and sling him into the alley. He will learn...,-0.34,0
"As if there's a ""motivated"" cat out there",0,0
I'm a cat & i don't give a fuck,0.431,0
Look at garfield lol,0.4215,0
Me during this quarantine 😂,0,0
Me to the Cat: What a Hungover... Must be a wild party last night?,0.4019,0
😂,0,0
Hes has covid,0,0
The Taste Would be Exquisitely  decorated with a variety of flavors such as well served salty sweet potato salad and grilled raisins with swana wuf vinegar sauce,0.6249,0
Probably had to do a double shift. Poor guy..,-0.4767,0
That's is a good life,0.4404,0
would not eat anywhere that's got a cat prowling  around',0,0
"How much beer did you get  last night ?
Cat: Yes",0.4019,0
Lucky cat..we miss going to restaurants to dine in...😍🥺,0.296,0
😂😂🤣,0,0
"that is not a cat, that's Leo the lion, king of the restaurant",0,2
Dudes got life figured out,0,0
When puss and boots finish smoking that cat nip...😏,0,0
😂,0,0
Garfield the gangsta taking an afternoon nap.,0,0
"Cats like ""dont forget who pays your wages"" ha ha",0.7885,0
Это кошка или кот?,0,0
How has he not been fired?,0.4449,0
"Its not sleeping, its out its nut on cat nip!",0,0
"'what you wanna be in next life'
me:",0,0
"After a good meal, a good Dream!",0.7959,0
"But when I do it they call the police on me, not fair!",-0.308,0
Ame a ese minino❤❤,0,0
The cat's been drugged it's in the Chinese restaurant it's the next meal on the menu,0,0
"Tão lindóoooooooooo
Que eu nem sei! Essa magreza, esse cabelo, seu carisma... Meu Deus arrepia todo meu ser...",0,0
Restaurant: now we have kitten soup tonight !,0,0
That cat on some lean...,0,0
That cat has a better life than most people 😂,0.4404,1
Garfield,0,0
Me when I have too much homework to do...,0,0
"Да-а во жизнь у кошечки!!! Хоть бы уж под столом разлегся, а то полное пренебрежение...",0,0
too much catnip eh?,0,0
The cat got bomb 😂,-0.4939,1
Is that Lord Bheroz??,0,1
Haha so cute that i feel like stepping on his body!,0.8436,0
That's a spoiled cat,0,0
"Human property ownership laws don't apply to cats. After all cats live by cat logic, which humans are yet to understand properly.",0,0
Cats are depression killers.,-0.8402,0
"Yup, its opium.",0,0
Cats think they own the world. A good kick in his ass!!,-0.2924,0
CAT: In my former life I was a POSSUM!!!!,0,0
"Poor thing. Must have stayed up all night. It's hard to sleep with that much noise. Maybe having a seizure or muscle failure. In pain, no-one knows.",-0.8779,0
Its the owner,0,0
"Pad Thai coma, that's what it is. We'll had it. The Cat had 3 plates of it too many",0,0
he's gonna eat well with all the monetization money he gets from over 4.5m views,0.2732,0
Bet you that place is dirty as hell behind the scenes,-0.8176,0
If he don't get his lazy butt up😂,0.2755,0
Рыжик утомился!,0,0
"Now you know they got that cat stoned!
Somebody call the human society on this muthafucka
Poor cat!!!!",-0.6449,0
Get fuckin up,0,0
What a cool cat !,0.3802,0
Would have dragged him into the kicthen and made orange chicken,-0.0516,0
"Garfield look alike, but even lazier than Garfield! 😂",-0.6948,0
Hahahahahaha,0,0
😁,0,0
Just say no to drugs little kitties!,-0.3595,0
"Sadly, that's how cats came to us in anatomy class for us to dissect. I started but then I couldn't do it can I change my entire career because of it. I went from pre-med to education",-0.2263,0
That is one happy and content cat that feels totally safe,0.7841,0
He so darn CUTE,0.6138,0
best of YouTube,0.6369,0
Thats called a catnip coma,0,0
Too many left overs,0,0
Someone gave that cat too many drinks..He will wake up asking for his mask.,0,1
Maybe it heard the water boiling in the kitchen and simply accepted its fate.,0.2732,0
"That's what cats do, it's their job.",0,0
For real!?,0,0
catnip is one hell of a drug,-0.6808,0
"What's new pussycat? Woah, Woah!",0,0
he probably drugged before those chinese eat it.,0,0
😂😂😂💕💕💕💕💕,0,0
That cat was fed msg.  I pass out too after eating that crap,-0.3818,0
Hahahaha....he is boss....sweet😊,0,0
"The lesson here is: The boss may not always be right, but they're still the boss.",0,0
Sleep huh..  boy on that lean,0,0
The boss is sleeping 😴,0,0
"After eating at this establishment, the cat meowed ""I've fallen and I can't get up""!",-0.4199,2
"That Asain lady ""no filming the food.""",-0.296,0
Here’s a cat who’s extremely secure in his/her environment - cats don’t sleep like that otherwise. My cat does the same thing but often ends up curled up. Great vid ! Thanx. Rx,0.8604,0
It's always happy hour somewhere. 😁👍,0.5719,0
Reminds me of the end scene in the Radiohead video for _Just._,0,0
A cat in a restaurant? ..... Unsanitary regardless of how cute it is..wouldn't eat there!!,0.555,0
It's so kind for this Cat to allow people to come to his restaurant.,0.6801,3
Cuando encuentro un animal asi lo que hago es echarles agua en la barriga 🤣,0.296,0
Such a good actor,0.4404,0
BEST CAT EVER :),0.8374,1
Catnip,0,0
"I dont even like cats, but i would like this cat, he laid back with no worries.",-0.8664,0
"Tbh, i watched this because i needed a sign of life. For a whole minute, i was convinced he was on his 9th life.",0.4019,0
master of relaxation,0.5267,0
Rigor Meowrtis,0,0
"4M views with this ?!? really ?!? Easy way to make money.. Disgusting. 
Also, gab the damn cat and put him outside, problem solved.
People shouldnt be able to ""earn"" money like that, I wish we'd go back to a free Youtube. I bet there would be WAY LESS youtubers haha !",0.8816,0
Real life puss in boots,0,0
I think something is wrong with him,-0.4767,0
It's Drax Cat... he's moving so incredibly slow that he's invisible...,0,0
Spill boiling oil on him...,0,0
I tho I was a toy 😂,0,0
His girlfriend broke up with him,-0.4215,0
That cat’s on union.You can tell.,0,0
Lazy lol,0.0772,0
"This should be the ""gives no fucks"" meme",-0.6486,0
My dog does the same thing. Blocks the walk way or door going outside and I just have to step over her little ass. She is also a bed hog.,-0.6258,0
That cat has been drugged...clearly,0,0
Happiness is a warm pussy.,0.6705,0
0 f*cks to give. 🐾,0,0
😘😘😘,0,0
Hes fucking sick... not lzy,0,0
Aight imma nap out,0,0
What a perfect thing to do during quarantine!,0.6114,0
My cat dose similar things,0,0
😹😹😹😹❤,0,0
No shits given,-0.6486,1
"Anyone check for a pulse or BP?

obvious joke is obvious.",0.296,0
I think the cat ate some edibles,0,0
There's a cat round the corner from me who does that. Sprawled out in the middle of a busy street with people having to step over it,0,1
"This cat is perfectly mirroring what many people are doing now that they're self-isolating at home - like, ""I *could* get up and fix myself a bowl of food...but nah. I'm too comfortable to move.""",0.8625,0
Kucing Orange memang Barbar gak hanya di indo aja teryata sama Aja di LN..🤔🤔🤔,0,0
No way 🤣,-0.296,0
😂😅🤣,0,0
"I saw a cat doing this in the highway, but I don't think it was going to be getting up anytime soon.",0,0
This cat is the coolest ever. Diggin it’s lifestyle.,0,0
Be honest. The Cat is an Alcoholic,0.5106,0
This is a pretty weird episode of What Would You Do.,0.3612,1
Good jobs that's not a Chinese place pussy,0.4404,0
😳LAZINESS at it's FINEST...🐱,0,0
This has to be a code violation. That cat knows exactly what its doing.,-0.4939,0
Думал помер котейка,0,0
Awww ❤💛🧡💛,0,0
"Aw, they tricked him! Damn... None of the other cats showed up to the 2 pm revolt against humanity protest. How they gonna do Marmalade like that!",-0.1739,0
absolute boss,0,0
"Friend: _Wanna get together this weekend?_
Me: _Sure! Movie at 8PM tomorrow_
Friend: _OK Cool! I'll be right there_
Me at 8PM: 01:28",0.8513,3
on my third day of detox...,0,0
Ya me ví en cuarentena,0,1
They're waiting to harvest him.,0,0
"LOL






cat: DAMN i wasted",-0.4767,0
I would kick that cat so fast.....how RUDE!,-0.6489,0
Plot twist : He's drunk.,-0.34,0
Never have I seen a 🐈 just chill like that....,0.3612,0
"Human: please move!!!!
The Cat: I'll stay here until your A$$ feed me!!!!!!
😂🤣",0.5374,0
"Is it just me, or is this fucking cat jacked?",0,0
"You've heard of Schroeder's cat?
Now you've heard of Cheech and Chong's cat...",0,0
😻😻😻,0,0
He's Beerus,0,0
"Me: This food is disgusting WHERE'S YOUR MANAGER!?


The Manager:",-0.5707,198
How is that sanitary?,0,0
He better move before he gets cooked by these punks,0.4404,0
"They should take it for a vet check.  Maybe it's lethargic for a reason.  I know cats are naturally lazy, but I believe he looked kinda sickly.",-0.3291,0
Consequence of too much patting..,0,0
Shrooming kitty.,0,0
"That cat was drugged, Shame on all of you!!!!",-0.6449,0
U earn a cats respect period...,0.4767,0
Those arms lol,0.4215,0
Lucky it is not in the C.C.P,0.4215,0
The cat is the owner of the restaurant,0,0
This one looks ( and behaves ) exactly like my cat!,0.4199,0
Estoicismo,0,0
Hi probably not sleeping probably is under Coronavirus attack!!!,-0.6093,0
"Wow, I can't believe *nobody* made a Garfield joke yet!",0.7424,0
A quick cat nap. I'm on my break.,0,0
😂,0,0
That cat looks depressed.,-0.5106,0
Someone put a Xanax in this cats food.,0,0
"Safety hazard, trip over the cat spilling food all over it.  Someone should probably move that cat.",0.4215,0
That’s fake and abusive! The cat must have been drugged. STOP IT!!!,-0.9081,0
"I don't like cats but this guy is making me change my mind. He reminds me of my bulldogs, but then again they reminded me of cats🤔",-0.1419,0
Health codes? This wudnt happen in america,0,0
"""Not a single fuck shall be given today."" -lazy cat",0.09,1
Oh my god! She's having a life for sure!😊,0.3987,0
That cat is imitating Trump.,0,0
Chinese: cat fried 😋,0,2
This is the quality content I pay internet for,-0.1027,0
😂😂😂Kitty got into the catnip,0,0
"What he found a sweet spot,but kiddy cat making me sooooo sleeeepy🐱🐱🐱",0.4588,0
Looks like someone slipped this kitty an edible. ☝️🥴,0.3612,0
That is imperturbabilty,0,0
"_""tough"" life_",0,2
"Is the cat king, so cute!",0.632,0
The cat was having a rough day ! He started to wag his tail a few times .... but lost momentum !!! >^..^< !!!,-0.6391,1
Love this cat! He is the cutest! Wow! This is life!,0.9321,0
That cat is living large. Lol. He's like don't bother me ....I'm napping. Move  along people move along.,0.7458,0
This baby is living it's best life.,0.6369,0
